url,title,old_neighborhoods,new_neighborhoods,old_geographic_area,new_geographic_area,old_umbrella,new_umbrella,classification_changed,improvement_type
https://www.publicsource.org/sewickley-black-history-preservation-book-film-fundraising/,Black Sewickley residents preserve their surprising history through story and film,Sewickley,Sewickley,Unknown,North Side,Pittsburgh,Allegheny County,True,Resolved unknown area
https://www.publicsource.org/biden-blocks-deal-to-sell-u-s-steel-saying-it-should-be-domestically-owned-and-operated/,"Biden blocks deal to sell U.S. Steel, saying it should be domestically owned and operated",,"Braddock, Clairton",Unknown,Central Pittsburgh,Pittsburgh,Allegheny County,True,Added neighborhood classification
https://www.publicsource.org/us-steel-sale-block-nippon-pittsburgh-complicated-industrial-past-essay/,U.S. Steel no-sale another chapter in ‘a past that is long since gone’,,"Braddock, Clairton",Unknown,Central Pittsburgh,Pittsburgh,Allegheny County,True,Added neighborhood classification
https://www.publicsource.org/first-step-recovery-homes-mckeesport-addiction-center-new-facility-housing/,"Once teetering, First Step Recovery Homes takes a big step forward with new McKeesport facility",Mckeesport,McKeesport,Unknown,Central Pittsburgh,Pittsburgh,Allegheny County,True,Improved neighborhood accuracy
https://www.publicsource.org/manchester-esplanade-development-pittsburgh-registered-community-organization-program/,One Manchester group ‘waiting for word’ after another got the city’s official nod,Manchester,"Manchester, Chateau",Unknown,North Side,Pittsburgh,Pittsburgh,True,Improved neighborhood accuracy
https://www.publicsource.org/manchester-pittsburgh-registered-community-organization-mcc-neighbors/,Timeline: How Pittsburgh officials decided who speaks for Manchester,Manchester,"Manchester, Chateau",Unknown,North Side,Pittsburgh,Pittsburgh,True,Improved neighborhood accuracy
https://www.publicsource.org/pittsburgh-registered-community-organization-program-development-divisive-system/,How do Pittsburgh neighborhoods weigh in on development? Via a system that’s sometimes divisive.,,"Manchester, Chateau",Central Pittsburgh,"North Side, Lower East End",Pittsburgh,Pittsburgh,True,Added neighborhood classification
https://www.publicsource.org/moving-dc-to-hometown-pittsburgh-low-cost-self-employed-essay/,Pittsburgh’s low costs saved me from a D.C. desk job and kept alive my creativity,,"Moon Township, Sewickley",Central Pittsburgh,North Side,Pittsburgh,"Pittsburgh, Allegheny County",True,Added neighborhood classification
https://www.publicsource.org/manchester-neighbors-rco-registered-community-organization-esplanade-development/,"Ahead of Esplanade, Manchester now has two groups with development standing",Manchester,"Manchester, Chateau",Unknown,North Side,Pittsburgh,Pittsburgh,True,Improved neighborhood accuracy
https://www.publicsource.org/trump-presidency-potential-changes-pittsburgh-immigration-abortion-environment-infrastructure/,Four ways Trump could bring changes for Pittsburgh residents,,"Beechview, Coraopolis, Bethel Park, Squirrel Hill",Central Pittsburgh,South Pittsburgh,Pittsburgh,"Pittsburgh, Allegheny County",True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-seniors-black-dementia-alzheimers-caregiver-respite/,"As Pittsburgh ages, Black families shoulder heavy dementia care burden",,"Swissvale, Larimer",Central Pittsburgh,Upper East End,Pittsburgh,Pittsburgh,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-planning-commission-inclusionary-zoning-iz-charland-gainey-affordable-housing/,"‘Rushing’ into inclusionary zoning could be a mistake, commissioners say",,"Polish Hill, Bloomfield, Lawrenceville, Oakland",Unknown,"Upper East End, Central Pittsburgh",Pittsburgh,Pittsburgh,True,Added neighborhood classification
https://www.publicsource.org/allegheny-county-health-board-new-members-sara-innamorato-appointees/,Transparency and equity on minds of Allegheny County’s almost entirely new health board members,,"Homewood, Hill District, Hazelwood, Wilkinsburg, Penn Hills, Duquesne, Braddock, Clairton, McKeesport",Allegheny County,Central Pittsburgh,Pittsburgh,Allegheny County,True,Added neighborhood classification
https://www.publicsource.org/smithfield-street-church-repairs-downtown-pittsburgh-revitalization-development/,Smithfield Street church in downtown Pittsburgh looking for community partners to save building,Downtown,Downtown,Downtown,Central Pittsburgh,Pittsburgh,Pittsburgh,True,Improved geographic area
https://www.publicsource.org/pittsburgh-most-wanted-graffiti-writer-max-gonzales-muralist-essay/,"Busted for graffiti, I took my expression in new directions — but the court still has me in its sights",,"Garfield, New Kensington, Bloomfield, Observatory Hill, Central Lawrenceville, Swissvale, Rankin, South Side",Unknown,Upper East End,Pittsburgh,"Pittsburgh, Allegheny County",True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-parties-protest-donald-trump-inauguration-mlk-day/,"As Trump takes office on MLK Day, ‘we did it’ meets ‘we must fight back’",,"Shaler, East Liberty, Oakland, Downtown, Swissvale",Unknown,Upper East End,Pittsburgh,"Pittsburgh, Allegheny County",True,Added neighborhood classification
https://www.publicsource.org/downtown-pittsburgh-transformation-six-key-data-points/,6 key data points to watch as downtown Pittsburgh transforms,Downtown,Downtown,Downtown,Central Pittsburgh,Pittsburgh,Pittsburgh,True,Improved geographic area
https://www.publicsource.org/allegheny-county-jail-opioid-use-disorder-moud-program-evolution/,Allegheny County Jail’s addiction medication program evolves after rough start,,"Downtown, North Side",Allegheny County,North Side,Pittsburgh,"Pittsburgh, Allegheny County",True,Added neighborhood classification
https://www.publicsource.org/inclusionary-zoning-pittsburgh-competing-proposals-gainey-charland-planning-commission/,Unpacking inclusionary zoning and Pittsburgh’s two competing proposals,,"Polish Hill, Bloomfield, Lawrenceville, Oakland",Central Pittsburgh,"Upper East End, West End, Central Pittsburgh",Pittsburgh,Pittsburgh,True,Added neighborhood classification
https://www.publicsource.org/pittsburgh-employment-felony-conviction-error-braddock-inclusion-project/,"For a decade, I wondered why Pittsburgh employers wouldn’t call me back",Braddock,Braddock,Unknown,North Side,Pittsburgh,"Pittsburgh, Allegheny County",True,Resolved unknown area
